,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
P259,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],bcb,Group: 0
P721,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],bcb,Group: 0
P250,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],bab,Group: 0
P760,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],bab,Group: 0
P466,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aab,Group: 0
P474,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aab,Group: 0
P680,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 0
P420,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],aba,Group: 0
P678,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],abb,Group: 0
P383,[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],abb,Group: 0
P708,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],bba,Group: 1
P730,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],bba,Group: 1
P469,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],aba,Group: 1
P643,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],aba,Group: 1
P774,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],bab,Group: 1
P228,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],bab,Group: 1
P235,[0-0],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-0],[0-1],[0-1],[0-1],[0-0],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-2],[0-0],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-0],[0-1],[0-0],[0-0],[0-1],[0-1],aba,Group: 1
