,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P50-NH64,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P30-NH58,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P55-NH58,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P56-NH58,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P20-NH60,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P34-NH60,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P01-NH62,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P08-NH62,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P50-NH62,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P53-NH62,[83-281],[43-304],[55-324],[103-360],[100-320],[125-341],[71-324],[91-367],[62-304],[108-347],[59-312],[94-377],[83-361],[85-384],[72-400],[56-281],[81-349],[54-300],[43-196],[62-223],[50-327],[75-244],[51-280],[58-307],[66-233],[55-279],[59-163],[42-256],[43-192],[59-153],bba,Group: 0
P20-NH58,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P63-NH58,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P56-NH60,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P65-NH60,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P03-NH62,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P07-NH58,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P05-NH62,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
P36-NH58,[100-345],[84-338],[102-391],[87-437],[71-338],[97-341],[81-417],[75-352],[111-430],[86-334],[62-306],[113-363],[115-371],[90-300],[43-320],[51-323],[52-367],[49-304],[99-336],[71-405],[79-358],[30-317],[79-341],[66-309],[30-369],[44-450],[81-340],[42-309],[147-305],[88-450],aaaaa,Group: 2
